2025-01-15 23:21:00 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:21:16 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:21:20 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:21:24 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:21:40 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:21:48 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:21:51 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:22:07 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:22:12 - /home/eminent/alx-backend-python/Django-Middleware-0x03/chats/middleware.py changed, reloading.
2025-01-15 23:23:53 - /home/eminent/alx-backend-python/Django-Middleware-0x03/messaging_app/settings.py changed, reloading.
2025-01-15 23:23:59 - /home/eminent/alx-backend-python/Django-Middleware-0x03/messaging_app/settings.py changed, reloading.
